Latitude (decimal degrees):	48.871
Longitude (decimal degrees):	0.300
Elevation (m):	240
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220328:0510,0.0,0.0,0.0,5.68,2.07,0.0
20220328:0610,1.24,8.51,3.3,5.47,2.07,0.0
20220328:0710,137.08,184.83,13.11,7.31,2.28,0.0
20220328:0810,328.26,398.17,22.54,9.43,1.45,0.0
20220328:0910,414.88,502.74,31.1,11.5,1.45,0.0
20220328:1010,492.41,605.29,38.1,13.84,1.66,0.0
20220328:1110,668.71,846.23,42.71,15.78,1.79,0.0
20220328:1210,597.69,754.76,44.11,16.99,1.79,0.0
20220328:1310,450.17,562.92,41.98,17.58,1.72,0.0
20220328:1410,531.6,667.49,36.8,18.06,1.86,0.0
20220328:1510,435.18,540.93,29.4,18.14,2.28,0.0
20220328:1610,233.08,297.42,20.61,17.76,2.28,0.0
20220328:1710,76.82,116.17,11.06,16.71,2.07,0.0
20220328:1810,0.0,0.0,0.0,15.04,2.28,0.0
20220328:1910,0.0,0.0,0.0,13.66,2.07,0.0
20220328:2010,0.0,0.0,0.0,12.41,2.14,0.0
20220328:2110,0.0,0.0,0.0,11.57,2.07,0.0
20220328:2210,0.0,0.0,0.0,10.97,2.14,0.0
20220328:2310,0.0,0.0,0.0,10.6,1.93,0.0
20220329:0010,0.0,0.0,0.0,10.28,1.38,0.0
20220329:0110,0.0,0.0,0.0,9.55,0.9,0.0
20220329:0210,0.0,0.0,0.0,9.33,0.97,0.0
20220329:0310,0.0,0.0,0.0,8.92,1.24,0.0
20220329:0410,0.0,0.0,0.0,8.57,1.59,0.0
20220329:0510,0.0,0.0,0.0,7.98,1.66,0.0
20220329:0610,0.79,7.57,3.64,7.8,1.72,0.0
20220329:0710,18.52,35.0,13.46,8.78,2.21,0.0
20220329:0810,122.11,158.07,22.9,9.55,2.0,0.0
20220329:0910,250.56,304.99,31.47,10.42,2.28,0.0
20220329:1010,551.23,666.06,38.49,11.09,2.34,0.0
20220329:1110,333.72,404.69,43.11,11.49,2.21,0.0
20220329:1210,551.21,672.66,44.49,12.21,2.21,0.0
20220329:1310,377.58,460.68,42.34,13.12,2.0,0.0
20220329:1410,280.29,347.12,37.11,14.37,1.59,0.0
20220329:1510,397.83,490.9,29.68,14.44,1.03,0.0
20220329:1610,303.58,381.54,20.87,13.81,0.69,0.0
20220329:1710,44.45,69.62,11.3,12.79,0.21,0.0
20220329:1810,0.0,0.0,0.0,11.09,1.38,0.0
20220329:1910,0.0,0.0,0.0,10.41,1.59,0.0
20220329:2010,0.0,0.0,0.0,10.1,1.52,0.0
20220329:2110,0.0,0.0,0.0,9.42,1.59,0.0
20220329:2210,0.0,0.0,0.0,9.11,1.52,0.0
20220329:2310,0.0,0.0,0.0,8.58,1.52,0.0
20220330:0010,0.0,0.0,0.0,8.2,1.59,0.0
20220330:0110,0.0,0.0,0.0,7.74,1.66,0.0
20220330:0210,0.0,0.0,0.0,7.49,1.45,0.0
20220330:0310,0.0,0.0,0.0,6.95,1.52,0.0
20220330:0410,0.0,0.0,0.0,7.07,1.38,0.0
20220330:0510,0.0,0.0,0.0,7.44,1.59,0.0
20220330:0610,1.69,9.46,3.99,6.92,1.79,0.0
20220330:0710,62.18,89.06,13.81,7.76,0.69,0.0
20220330:0810,116.25,151.62,23.26,9.1,0.62,0.0
20220330:0910,104.62,138.11,31.84,9.41,1.59,0.0
20220330:1010,120.54,157.03,38.88,10.73,2.28,0.0
20220330:1110,121.78,157.98,43.51,10.29,2.9,0.0
20220330:1210,59.61,86.08,44.88,10.7,3.45,0.0
20220330:1310,55.53,81.35,42.7,11.03,3.45,0.0
20220330:1410,57.07,83.25,37.43,11.28,3.72,0.0
20220330:1510,73.17,102.17,29.96,11.21,4.07,0.0
20220330:1610,68.51,96.49,21.12,10.73,4.48,0.0
20220330:1710,26.42,45.41,11.55,9.89,4.55,0.0
20220330:1810,0.0,0.91,1.7,8.98,4.28,0.0
20220330:1910,0.0,0.0,0.0,7.49,3.79,0.0
20220330:2010,0.0,0.0,0.0,6.96,3.59,0.0
20220330:2110,0.0,0.0,0.0,6.59,3.1,0.0
20220330:2210,0.0,0.0,0.0,6.29,2.9,0.0
20220330:2310,0.0,0.0,0.0,6.0,2.41,0.0
20220331:0010,0.0,0.0,0.0,5.85,2.21,0.0
20220331:0110,0.0,0.0,0.0,5.46,2.14,0.0
20220331:0210,0.0,0.0,0.0,5.5,2.21,0.0
20220331:0310,0.0,0.0,0.0,5.53,2.0,0.0
20220331:0410,0.0,0.0,0.0,5.53,2.0,0.0
20220331:0510,0.0,0.0,0.0,5.32,2.41,0.0
20220331:0610,2.2,10.41,4.33,4.97,2.97,0.0
20220331:0710,33.35,52.97,14.16,4.19,3.24,0.0
20220331:0810,179.81,217.38,23.62,3.56,3.52,0.0
20220331:0910,97.15,125.82,32.21,3.15,3.66,0.0
20220331:1010,128.79,160.82,39.27,3.16,4.0,0.0
20220331:1110,235.55,279.03,43.9,4.05,4.55,0.0
20220331:1210,107.29,138.11,45.27,5.34,4.97,0.0
20220331:1310,282.13,332.39,43.05,6.06,5.52,0.0
20220331:1410,382.16,441.35,37.74,5.75,6.28,0.0
20220331:1510,209.31,249.49,30.24,5.06,6.97,0.0
20220331:1610,93.6,122.03,21.38,4.21,7.24,0.0
20220331:1710,11.29,24.6,11.79,3.92,6.48,0.0
20220331:1810,0.0,1.81,1.94,3.29,6.21,0.0
20220331:1910,0.0,0.0,0.0,2.81,5.93,0.0
20220331:2010,0.0,0.0,0.0,2.06,6.0,0.0
20220331:2110,0.0,0.0,0.0,1.76,5.59,0.0
20220331:2210,0.0,0.0,0.0,1.28,5.24,0.0
20220331:2310,0.0,0.0,0.0,1.03,5.1,0.0
20220401:0010,0.0,0.0,0.0,1.01,5.24,0.0
20220401:0110,0.0,0.0,0.0,0.75,5.66,0.0
20220401:0210,0.0,0.0,0.0,0.63,6.21,0.0
20220401:0310,0.0,0.0,0.0,0.75,6.62,0.0
20220401:0410,0.0,0.0,0.0,0.63,6.9,0.0
20220401:0510,0.0,0.0,0.0,0.54,7.03,0.0
20220401:0610,1.3,8.51,4.68,0.56,7.24,0.0
20220401:0710,140.48,179.31,14.5,1.21,6.21,0.0
20220401:0810,75.94,101.22,23.97,1.73,7.66,0.0
20220401:0910,85.98,112.57,32.58,2.15,7.31,0.0
20220401:1010,133.36,164.6,39.66,2.11,6.9,0.0
20220401:1110,231.38,272.11,44.3,2.91,6.55,0.0
20220401:1210,200.39,238.95,45.65,3.44,6.62,0.0
20220401:1310,155.52,190.14,43.4,3.9,6.97,0.0
20220401:1410,239.41,281.68,38.06,4.17,7.24,0.0
20220401:1510,58.46,82.3,30.52,3.95,7.24,0.0
20220401:1610,34.26,53.92,21.63,3.76,7.03,0.0
20220401:1710,74.6,103.79,12.03,2.88,5.86,0.0
20220401:1810,0.0,2.72,2.18,2.1,6.34,0.0
20220401:1910,0.0,0.0,0.0,1.4,5.72,0.0
20220401:2010,0.0,0.0,0.0,1.34,5.1,0.0
20220401:2110,0.0,0.0,0.0,1.14,4.9,0.0
20220401:2210,0.0,0.0,0.0,0.89,4.69,0.0
20220401:2310,0.0,0.0,0.0,0.55,4.48,0.0
20220402:0010,0.0,0.0,0.0,0.27,4.28,0.0
20220402:0110,0.0,0.0,0.0,0.02,4.14,0.0
20220402:0210,0.0,0.0,0.0,-0.08,4.0,0.0
20220402:0310,0.0,0.0,0.0,-0.3,3.79,0.0
20220402:0410,0.0,0.0,0.0,-0.41,3.66,0.0
20220402:0510,0.0,0.0,0.0,-0.48,3.52,0.0
20220402:0610,12.32,27.48,5.02,-0.5,3.31,0.0
20220402:0710,109.06,141.08,14.84,0.74,2.76,0.0
20220402:0810,209.16,247.94,24.32,2.03,3.79,0.0
20220402:0910,454.6,520.39,32.95,3.16,4.21,0.0
20220402:1010,686.14,796.32,40.04,4.27,4.28,0.0
20220402:1110,359.85,419.35,44.69,5.22,4.34,0.0
20220402:1210,550.17,639.39,46.03,5.66,4.48,0.0
20220402:1310,540.43,628.6,43.76,6.11,4.48,0.0
20220402:1410,663.06,772.57,38.37,6.09,4.62,0.0
20220402:1510,307.82,360.51,30.79,6.04,4.69,0.0
20220402:1610,389.17,457.31,21.88,4.72,4.62,0.0
20220402:1710,102.25,140.96,12.27,4.05,4.28,0.0
20220402:1810,1.09,8.15,2.42,3.51,3.59,0.0
20220402:1910,0.0,0.0,0.0,2.14,2.97,0.0
20220402:2010,0.0,0.0,0.0,1.46,2.83,0.0
20220402:2110,0.0,0.0,0.0,0.95,2.9,0.0
20220402:2210,0.0,0.0,0.0,0.51,2.83,0.0
20220402:2310,0.0,0.0,0.0,0.13,2.69,0.0
20220403:0010,0.0,0.0,0.0,-0.4,2.55,0.0
20220403:0110,0.0,0.0,0.0,-0.87,2.48,0.0
20220403:0210,0.0,0.0,0.0,-1.26,2.48,0.0
20220403:0310,0.0,0.0,0.0,-1.53,2.48,0.0
20220403:0410,0.0,0.0,0.0,-1.75,2.41,0.0
20220403:0510,0.0,0.0,0.0,-1.98,2.28,0.0
20220403:0610,15.93,32.97,5.36,-2.1,2.14,0.0
20220403:0710,217.33,276.07,15.19,-0.62,2.14,0.0
20220403:0810,461.38,533.06,24.67,1.36,2.76,0.0
20220403:0910,656.67,759.38,33.32,3.1,3.52,0.0
20220403:1010,797.34,934.25,40.42,4.29,4.21,0.0
20220403:1110,741.45,869.28,45.08,5.39,4.55,0.0
20220403:1210,158.58,195.82,46.42,5.88,4.28,0.0
20220403:1310,226.76,272.0,44.11,5.76,3.66,0.0
20220403:1410,255.11,303.76,38.68,6.11,3.59,0.0
20220403:1510,69.95,96.49,31.07,6.23,3.52,0.0
20220403:1610,154.67,191.8,22.13,5.8,3.59,0.0
20220403:1710,79.02,110.18,12.51,5.28,3.72,0.0
20220403:1810,1.08,8.15,2.66,4.62,2.83,0.0
20220403:1910,0.0,0.0,0.0,3.12,2.07,0.0
20220403:2010,0.0,0.0,0.0,2.17,2.0,0.0
20220403:2110,0.0,0.0,0.0,1.48,1.79,0.0
20220403:2210,0.0,0.0,0.0,0.62,1.45,0.0
20220403:2310,0.0,0.0,0.0,-0.05,1.79,0.0
20220404:0010,0.0,0.0,0.0,-0.71,1.52,0.0
20220404:0110,0.0,0.0,0.0,-0.99,1.59,0.0
20220404:0210,0.0,0.0,0.0,-1.37,1.86,0.0
20220404:0310,0.0,0.0,0.0,-1.49,2.0,0.0
20220404:0410,0.0,0.0,0.0,-1.5,2.21,0.0
20220404:0510,0.0,0.0,0.0,-1.32,2.34,0.0
20220404:0610,16.6,33.45,5.69,-0.9,2.62,0.0
20220404:0710,156.99,199.09,15.53,1.08,2.9,0.0
20220404:0810,317.6,368.96,25.02,2.6,3.45,0.0
20220404:0910,418.95,482.23,33.68,4.25,4.28,0.0
20220404:1010,470.37,541.84,40.8,4.63,4.62,0.0
20220404:1110,283.45,332.63,45.47,4.62,4.69,0.0
20220404:1210,274.67,323.14,46.8,4.66,4.62,0.0
20220404:1310,168.81,206.22,44.45,4.8,4.41,0.0
20220404:1410,230.47,274.36,38.98,5.05,4.48,0.0
20220404:1510,225.21,267.67,31.34,4.88,4.83,0.0
20220404:1610,111.11,142.13,22.38,4.77,4.69,0.0
20220404:1710,46.81,69.52,12.74,4.8,4.62,0.0
20220404:1810,0.0,3.62,2.89,5.04,4.55,0.0
20220404:1910,0.0,0.0,0.0,5.19,4.34,0.0
20220404:2010,0.0,0.0,0.0,5.3,4.21,0.0
20220404:2110,0.0,0.0,0.0,5.45,4.07,0.0
20220404:2210,0.0,0.0,0.0,5.64,4.0,0.0
20220404:2310,0.0,0.0,0.0,5.92,3.79,0.0
20220405:0010,0.0,0.0,0.0,6.22,3.52,0.0
20220405:0110,0.0,0.0,0.0,6.58,3.24,0.0
20220405:0210,0.0,0.0,0.0,6.91,3.1,0.0
20220405:0310,0.0,0.0,0.0,7.17,2.83,0.0
20220405:0410,0.0,0.0,0.0,7.38,2.69,0.0
20220405:0510,0.0,0.0,0.0,7.49,2.62,0.0
20220405:0610,4.27,14.19,6.03,7.66,2.55,0.0
20220405:0710,73.52,102.07,15.86,8.15,3.03,0.0
20220405:0810,70.76,98.38,25.37,8.68,3.52,0.0
20220405:0910,91.0,122.03,34.04,9.56,4.28,0.0
20220405:1010,90.56,122.03,41.18,10.51,4.07,0.0
20220405:1110,117.42,153.25,45.86,11.26,4.48,0.0
20220405:1210,117.15,153.25,47.17,11.8,4.69,0.0
20220405:1310,81.82,112.57,44.8,12.06,4.83,0.0
20220405:1410,75.3,105.0,39.29,12.13,4.62,0.0
20220405:1510,174.45,219.21,31.61,12.41,4.21,0.0
20220405:1610,127.66,165.87,22.63,12.29,4.14,0.0
20220405:1710,93.68,133.51,12.98,11.83,4.07,0.0
20220405:1810,0.26,6.34,3.13,10.61,3.72,0.0
20220405:1910,0.0,0.0,0.0,8.85,3.59,0.0
20220405:2010,0.0,0.0,0.0,8.14,3.52,0.0
20220405:2110,0.0,0.0,0.0,7.56,3.31,0.0
20220405:2210,0.0,0.0,0.0,7.33,3.17,0.0
20220405:2310,0.0,0.0,0.0,7.21,3.1,0.0
20220406:0010,0.0,0.0,0.0,7.21,3.1,0.0
20220406:0110,0.0,0.0,0.0,6.81,2.97,0.0
20220406:0210,0.0,0.0,0.0,5.82,2.83,0.0
20220406:0310,0.0,0.0,0.0,5.35,2.9,0.0
20220406:0410,0.0,0.0,0.0,5.18,3.17,0.0
20220406:0510,0.0,0.0,0.0,5.12,3.38,0.0
20220406:0610,19.8,38.22,6.37,5.26,3.59,0.0
20220406:0710,17.99,34.06,16.2,6.98,3.24,0.0
20220406:0810,62.18,87.98,25.72,7.52,3.59,0.0
20220406:0910,176.8,218.16,34.4,8.53,4.62,0.0
20220406:1010,410.6,482.42,41.56,9.91,6.48,0.0
20220406:1110,71.73,100.27,46.25,11.09,6.48,0.0
20220406:1210,167.32,210.01,47.55,11.68,6.62,0.0
20220406:1310,241.1,293.49,45.14,11.64,6.69,0.0
20220406:1410,89.43,121.09,39.59,11.77,6.69,0.0
20220406:1510,149.27,189.18,31.88,11.54,6.76,0.0
20220406:1610,155.84,196.76,22.88,10.93,5.52,0.0
20220406:1710,59.15,86.33,13.22,10.23,6.55,0.0
20220406:1810,0.0,3.62,3.37,10.0,6.9,0.0
20220406:1910,0.0,0.0,0.0,9.74,6.9,0.0
20220406:2010,0.0,0.0,0.0,9.32,6.0,0.0
20220406:2110,0.0,0.0,0.0,9.04,6.0,0.0
20220406:2210,0.0,0.0,0.0,9.04,6.21,0.0
20220406:2310,0.0,0.0,0.0,9.0,5.93,0.0
20220407:0010,0.0,0.0,0.0,9.0,6.28,0.0
20220407:0110,0.0,0.0,0.0,9.12,6.62,0.0
20220407:0210,0.0,0.0,0.0,9.15,6.83,0.0
20220407:0310,0.0,0.0,0.0,9.27,7.31,0.0
20220407:0410,0.0,0.0,0.0,9.26,7.24,0.0
20220407:0510,0.0,0.0,0.0,9.3,7.17,0.0
20220407:0610,7.75,19.87,6.7,9.57,8.14,0.0
20220407:0710,43.95,67.16,16.53,10.54,8.14,0.0
20220407:0810,73.44,102.17,26.06,11.07,8.28,0.0
20220407:0910,190.96,235.69,34.76,11.06,7.1,0.0
20220407:1010,274.86,329.43,41.93,10.04,6.21,0.0
20220407:1110,386.84,457.58,46.63,10.31,6.07,0.0
20220407:1210,411.63,486.54,47.92,10.95,6.83,0.0
20220407:1310,679.59,797.95,45.48,10.69,7.72,0.0
20220407:1410,675.87,789.9,39.89,10.53,7.86,0.0
20220407:1510,448.77,524.27,32.15,10.58,7.93,0.0
20220407:1610,169.04,210.66,23.12,10.46,8.48,0.0
20220407:1710,120.15,168.78,13.45,9.69,6.97,0.0
20220407:1810,2.86,11.77,3.6,8.74,6.55,0.0
20220407:1910,0.0,0.0,0.0,7.98,5.86,0.0
20220407:2010,0.0,0.0,0.0,7.98,5.52,0.0
20220407:2110,0.0,0.0,0.0,7.73,5.45,0.0
20220407:2210,0.0,0.0,0.0,7.47,4.9,0.0
20220407:2310,0.0,0.0,0.0,7.19,4.14,0.0
20220408:0010,0.0,0.0,0.0,6.76,3.45,0.0
20220408:0110,0.0,0.0,0.0,6.44,3.1,0.0
20220408:0210,0.0,0.0,0.0,6.52,2.76,0.0
20220408:0310,0.0,0.0,0.0,6.52,2.0,0.0
20220408:0410,0.0,0.0,0.0,6.19,1.86,0.0
20220408:0510,0.0,0.0,0.0,6.02,1.93,0.0
20220408:0610,3.76,13.24,7.03,5.86,2.0,0.0
20220408:0710,16.05,31.22,16.87,4.81,3.38,0.0
20220408:0810,36.4,56.76,26.4,4.71,3.93,0.0
20220408:0910,43.47,65.27,35.12,5.01,3.66,0.0
20220408:1010,97.54,127.71,42.31,5.54,2.41,0.0
20220408:1110,65.6,91.76,47.02,6.49,1.66,0.0
20220408:1210,110.47,143.79,48.29,7.35,1.03,0.0
20220408:1310,62.42,87.98,45.82,6.57,2.83,0.0
20220408:1410,93.86,122.03,40.19,3.42,5.79,0.0
20220408:1510,60.57,84.19,32.41,2.15,5.31,0.0
20220408:1610,30.58,49.19,23.36,2.17,4.55,0.0
20220408:1710,62.65,87.99,13.68,3.14,4.69,0.0
20220408:1810,1.27,8.51,3.84,3.49,4.0,0.0
20220408:1910,0.0,0.0,0.0,3.99,4.07,0.0
20220408:2010,0.0,0.0,0.0,3.62,3.24,0.0
20220408:2110,0.0,0.0,0.0,2.84,2.69,0.0
20220408:2210,0.0,0.0,0.0,2.39,2.62,0.0
20220408:2310,0.0,0.0,0.0,2.34,2.62,0.0
20220409:0010,0.0,0.0,0.0,2.03,2.83,0.0
20220409:0110,0.0,0.0,0.0,2.18,2.83,0.0
20220409:0210,0.0,0.0,0.0,2.16,2.9,0.0
20220409:0310,0.0,0.0,0.0,2.12,3.03,0.0
20220409:0410,0.0,0.0,0.0,2.11,2.97,0.0
20220409:0510,0.0,0.0,0.0,1.76,2.83,0.0
20220409:0610,5.02,15.14,7.35,1.7,2.62,0.0
20220409:0710,236.35,299.49,17.2,3.21,2.62,0.0
20220409:0810,467.02,542.97,26.74,4.72,3.93,0.0
20220409:0910,590.64,683.44,35.47,5.91,4.83,0.0
20220409:1010,513.66,599.08,42.68,6.84,4.41,0.0
20220409:1110,615.4,728.25,47.4,7.88,3.86,0.0
20220409:1210,716.07,859.27,48.66,8.6,3.66,0.0
20220409:1310,829.51,1008.48,46.16,9.03,3.59,0.0
20220409:1410,684.55,815.08,40.49,9.28,4.07,0.0
20220409:1510,316.31,376.44,32.68,9.42,4.21,0.0
20220409:1610,310.03,373.17,23.61,8.85,3.72,0.0
20220409:1710,151.66,215.66,13.92,8.33,3.17,0.0
20220409:1810,6.86,18.41,4.07,7.34,2.28,0.0
20220409:1910,0.0,0.0,0.0,5.62,1.86,0.0
20220409:2010,0.0,0.0,0.0,4.45,1.72,0.0
20220409:2110,0.0,0.0,0.0,3.03,1.24,0.0
20220409:2210,0.0,0.0,0.0,3.78,0.62,0.0
20220409:2310,0.0,0.0,0.0,3.38,0.14,0.0
20220410:0010,0.0,0.0,0.0,1.62,1.1,0.0
20220410:0110,0.0,0.0,0.0,-0.15,1.59,0.0
20220410:0210,0.0,0.0,0.0,-0.73,1.52,0.0
20220410:0310,0.0,0.0,0.0,-1.07,1.59,0.0
20220410:0410,0.0,0.0,0.0,-1.33,1.66,0.0
20220410:0510,0.0,0.0,0.0,-1.52,1.86,0.0
20220410:0610,33.79,73.84,7.68,-0.87,1.93,0.0
20220410:0710,241.73,304.9,17.52,1.7,1.45,0.0
20220410:0810,423.9,500.35,27.07,4.94,1.72,0.0
20220410:0910,636.5,759.6,35.82,7.17,2.28,0.0
20220410:1010,782.71,952.51,43.04,8.71,2.83,0.0
20220410:1110,859.89,1058.44,47.77,9.57,3.24,0.0
20220410:1210,884.22,1096.0,49.03,10.48,3.38,0.0
20220410:1310,839.36,1037.0,46.49,11.27,3.38,0.0
20220410:1410,721.3,877.73,40.78,11.77,3.45,0.0
20220410:1510,464.82,556.32,32.94,11.96,3.66,0.0
20220410:1610,258.53,316.95,23.85,11.69,3.86,0.0
20220410:1710,87.08,122.16,14.15,11.07,3.31,0.0
20220410:1810,3.13,12.3,4.3,9.9,3.1,0.0
20220410:1910,0.0,0.0,0.0,8.72,3.45,0.0
20220410:2010,0.0,0.0,0.0,8.19,4.0,0.0
20220410:2110,0.0,0.0,0.0,7.74,4.0,0.0
20220410:2210,0.0,0.0,0.0,7.04,4.07,0.0
20220410:2310,0.0,0.0,0.0,6.57,4.41,0.0
20220411:0010,0.0,0.0,0.0,6.21,4.48,0.0
20220411:0110,0.0,0.0,0.0,5.93,4.48,0.0
20220411:0210,0.0,0.0,0.0,5.62,4.41,0.0
20220411:0310,0.0,0.0,0.0,5.38,4.55,0.0
20220411:0410,0.0,0.0,0.0,5.13,4.55,0.0
20220411:0510,0.0,0.0,0.0,4.89,4.41,0.0
20220411:0610,35.95,74.13,8.0,4.77,4.41,0.0
20220411:0710,229.64,291.74,17.85,6.1,4.41,0.0
20220411:0810,431.34,507.34,27.4,7.86,4.34,0.0
20220411:0910,592.07,699.22,36.16,10.1,4.69,0.0
20220411:1010,667.55,802.15,43.41,12.29,4.76,0.0
20220411:1110,812.84,1000.41,48.15,14.22,4.76,0.0
20220411:1210,722.62,890.92,49.4,15.69,4.62,0.0
20220411:1310,684.81,845.4,46.83,16.72,4.55,0.0
20220411:1410,494.29,605.09,41.08,17.37,4.48,0.0
20220411:1510,197.73,251.47,33.2,17.65,4.34,0.0
20220411:1610,71.59,103.11,24.09,17.91,4.21,0.0
20220411:1710,106.06,152.49,14.38,17.38,3.52,0.0
20220411:1810,5.13,16.08,4.53,16.22,3.59,0.0
20220411:1910,0.0,0.0,0.0,14.58,3.45,0.0
20220411:2010,0.0,0.0,0.0,13.94,3.52,0.0
20220411:2110,0.0,0.0,0.0,13.66,3.45,0.0
20220411:2210,0.0,0.0,0.0,13.05,3.24,0.0
20220411:2310,0.0,0.0,0.0,12.57,3.17,0.0
20220412:0010,0.0,0.0,0.0,12.16,3.24,0.0
20220412:0110,0.0,0.0,0.0,12.01,3.52,0.0
20220412:0210,0.0,0.0,0.0,11.74,3.52,0.0
20220412:0310,0.0,0.0,0.0,11.23,3.52,0.0
20220412:0410,0.0,0.0,0.0,10.73,3.86,0.0
20220412:0510,0.0,0.0,0.0,10.38,4.21,0.0
20220412:0610,36.7,65.15,8.32,10.1,4.21,0.0
20220412:0710,223.64,290.59,18.17,11.04,4.0,0.0
20220412:0810,309.28,373.79,27.73,12.18,4.34,0.0
20220412:0910,489.89,585.66,36.51,13.36,4.97,0.0
20220412:1010,451.47,544.26,43.77,14.07,4.55,0.0
20220412:1110,595.01,723.92,48.52,14.52,4.28,0.0
20220412:1210,387.12,470.5,49.76,14.66,4.34,0.0
20220412:1310,420.1,508.43,47.16,14.6,4.69,0.0
20220412:1410,200.24,251.06,41.37,14.33,4.34,0.0
20220412:1510,90.61,123.92,33.46,14.14,4.21,0.0
20220412:1610,47.05,71.89,24.32,13.46,3.17,0.0
20220412:1710,109.95,154.78,14.6,12.91,2.9,0.0
20220412:1810,0.74,7.57,4.76,12.53,2.48,0.0
20220412:1910,0.0,0.0,0.0,11.88,3.17,0.0
20220412:2010,0.0,0.0,0.0,11.41,2.9,0.0
20220412:2110,0.0,0.0,0.0,11.03,2.76,0.0
20220412:2210,0.0,0.0,0.0,10.53,2.62,0.0
20220412:2310,0.0,0.0,0.0,9.95,2.41,0.0
20220413:0010,0.0,0.0,0.0,9.61,2.14,0.0
20220413:0110,0.0,0.0,0.0,9.11,1.93,0.0
20220413:0210,0.0,0.0,0.0,9.06,1.79,0.0
20220413:0310,0.0,0.0,0.0,8.85,1.72,0.0
20220413:0410,0.0,0.0,0.0,8.59,1.79,0.0
20220413:0510,0.0,0.0,0.0,8.32,1.66,0.0
20220413:0610,34.63,58.44,8.64,8.18,1.45,0.0
20220413:0710,105.87,142.11,18.48,11.47,1.17,0.0
20220413:0810,279.37,343.38,28.06,12.13,1.45,0.0
20220413:0910,347.21,427.35,36.85,13.01,0.83,0.0
20220413:1010,368.83,457.83,44.13,14.37,0.83,0.0
20220413:1110,651.7,838.37,48.89,15.05,0.69,0.0
20220413:1210,483.97,611.53,50.12,15.59,0.55,0.0
20220413:1310,349.94,441.92,47.48,16.28,0.21,0.0
20220413:1410,456.52,580.77,41.66,16.57,0.07,0.0
20220413:1510,259.9,328.88,33.71,16.63,0.41,0.0
20220413:1610,221.74,284.05,24.56,16.5,0.48,0.0
20220413:1710,53.2,80.56,14.83,15.31,0.28,0.0
20220413:1810,10.86,25.35,4.99,14.02,0.48,0.0
20220413:1910,0.0,0.0,0.0,13.99,1.45,0.0
20220413:2010,0.0,0.0,0.0,12.84,1.59,0.0
20220413:2110,0.0,0.0,0.0,11.86,2.0,0.0
20220413:2210,0.0,0.0,0.0,11.09,1.93,0.0
20220413:2310,0.0,0.0,0.0,10.33,1.79,0.0
20220414:0010,0.0,0.0,0.0,9.65,1.52,0.0
20220414:0110,0.0,0.0,0.0,8.57,1.24,0.0
20220414:0210,0.0,0.0,0.0,8.46,0.9,0.0
20220414:0310,0.0,0.0,0.0,8.49,0.62,0.0
20220414:0410,0.0,0.0,0.0,8.08,0.69,0.0
20220414:0510,0.0,0.0,0.0,7.43,0.9,0.0
20220414:0610,41.91,85.04,8.95,6.42,1.03,0.0
20220414:0710,238.51,309.72,18.8,8.78,0.69,0.0
20220414:0810,450.82,553.7,28.38,10.81,0.69,0.0
20220414:0910,613.54,767.49,37.19,12.86,0.9,0.0
20220414:1010,588.41,735.31,44.48,14.38,1.45,0.0
20220414:1110,417.35,520.73,49.26,15.95,1.31,0.0
20220414:1210,516.12,654.86,50.48,16.33,0.76,0.0
20220414:1310,491.65,621.89,47.81,16.85,0.9,0.0
20220414:1410,364.89,458.96,41.94,17.26,0.83,0.0
20220414:1510,240.64,306.23,33.96,17.19,0.48,0.0
20220414:1610,118.65,160.08,24.79,17.23,0.41,0.0
20220414:1710,51.92,79.58,15.06,17.23,0.41,0.0
20220414:1810,0.71,7.57,5.22,16.35,0.97,0.0
20220414:1910,0.0,0.0,0.0,14.28,2.0,0.0
20220414:2010,0.0,0.0,0.0,12.82,1.93,0.0
20220414:2110,0.0,0.0,0.0,11.65,1.93,0.0
20220414:2210,0.0,0.0,0.0,10.67,1.93,0.0
20220414:2310,0.0,0.0,0.0,10.01,2.0,0.0
20220415:0010,0.0,0.0,0.0,9.65,2.07,0.0
20220415:0110,0.0,0.0,0.0,9.44,2.0,0.0
20220415:0210,0.0,0.0,0.0,9.13,1.86,0.0
20220415:0310,0.0,0.0,0.0,8.74,1.66,0.0
20220415:0410,0.0,0.0,0.0,8.12,1.52,0.0
20220415:0510,0.0,0.0,0.0,7.45,1.59,0.0
20220415:0610,44.26,87.6,9.26,7.54,1.31,0.0
20220415:0710,233.69,305.06,19.11,10.61,0.76,0.0
20220415:0810,443.54,551.37,28.7,13.58,0.76,0.0
20220415:0910,599.99,760.48,37.52,15.46,0.83,0.0
20220415:1010,668.11,861.26,44.84,16.79,1.03,0.0
20220415:1110,778.37,1025.9,49.62,18.08,1.38,0.0
20220415:1210,763.1,997.67,50.83,18.64,1.79,0.0
20220415:1310,675.37,866.97,48.13,18.89,2.07,0.0
20220415:1410,474.88,596.79,42.23,19.33,2.21,0.0
20220415:1510,462.52,578.97,34.22,19.29,2.34,0.0
20220415:1610,359.31,454.86,25.02,18.76,2.62,0.0
20220415:1710,147.98,218.7,15.28,18.01,2.55,0.0
